,work_id,doi,title,publication_year,publication_date,type,type_crossref,cited_by_count,num_authors,num_locations,num_references,language,has_complete_institution_info,has_grant_info,has_keywords,created_date,updated_date,paper_openalex_id,only_focal,focal_and_refs,only_refs,Dindex
0,14772009,10.1021/am404137e,Spatial Atmospheric Atomic Layer Deposition of Al<sub><i>x</i></sub>Zn<sub>1–<i>x</i></sub>O,2013,2013-12-11,article,journal-article,46,5,2,26,en,True,False,True,2016-06-24,2023-12-17 23:56:44.571,14772009,8,38,4923,-0.0060374320788891
1,27684681,10.1021/am300593k,Thermal Treatment Effects on Charge Storage Performance of Graphene-Based Materials for Supercapacitors,2012,2012-06-18,article,journal-article,51,4,2,47,en,True,False,True,2016-06-24,2023-12-16 06:51:01.293,27684681,15,36,83409,-0.0002516175413371
2,591963447,10.1021/acsami.5b03073,Correlating Molecular Structures with Transport Dynamics in High-Efficiency Small-Molecule Organic Photovoltaics,2015,2015-06-15,article,journal-article,15,9,2,25,en,True,True,True,2016-06-24,2023-12-15 07:24:21.326,591963447,0,0,64395,0.0
3,594162453,10.1021/acsami.5b02887,Organo-Chlorinated Thin Films Deposited by Atmospheric Pressure Plasma-Enhanced Chemical Vapor Deposition for Adhesion Enhancement between Rubber and Zinc-Plated Steel Monofilaments,2015,2015-06-24,article,journal-article,5,6,2,33,en,True,False,True,2016-06-24,2023-12-13 01:32:51.170,594162453,2,1,1605,0.0006218905472636
4,598708682,10.1021/acsami.5b03879,Functionalized Collagen Scaffold Neutralizing the Myelin-Inhibitory Molecules Promoted Neurites Outgrowth in Vitro and Facilitated Spinal Cord Regeneration in Vivo,2015,2015-06-16,article,journal-article,71,11,2,34,en,True,True,True,2016-06-24,2023-12-18 11:03:41.012,598708682,1,2,5120,-0.0001951981260979
5,604361115,10.1021/acsami.5b01492,Electrochemical Method Assisted Immobilization and Orientation of Myoglobin into Biomimetic Brij 56 Film and Its Direct Electrochemistry Study,2015,2015-05-18,article,journal-article,5,6,2,49,en,True,True,True,2016-06-24,2023-12-16 17:28:28.667,604361115,11,4,93,0.0648148148148148
6,2955371519,10.1021/acsami.9b06995,"Universal Bipolar Host Materials for Blue, Green, and Red Phosphorescent OLEDs with Excellent Efficiencies and Small-Efficiency Roll-Off",2019,2019-07-04,article,journal-article,65,7,2,71,en,True,True,True,2019-07-12,2023-12-16 14:00:27.932,2955371519,6,2,3671,0.0010872519706441
7,2955432722,10.1021/acsami.9b06402,Extraordinary Thickness-Independent Electrochemical Energy Storage Enabled by Cross-Linked Microporous Carbon Nanosheets,2019,2019-07-04,article,journal-article,48,8,2,68,en,True,True,True,2019-07-12,2023-12-13 07:51:07.369,2955432722,0,2,10473,-0.0001909307875894
8,2955437437,10.1021/acsami.9b07997,Silicon Nitride: A Bioceramic with a Gift,2019,2019-06-28,article,journal-article,57,1,2,124,en,True,True,True,2019-07-12,2023-12-16 13:55:46.485,2955437437,0,1,633,-0.001577287066246
9,2955716863,10.1021/acsami.9b08116,Comparison of Linear and 4-Arm Star Poly(vinyl pyrrolidone) for Aqueous Binder Jetting Additive Manufacturing of Personalized Dosage Tablets,2019,2019-06-06,article,journal-article,46,5,2,42,en,True,False,True,2019-07-12,2023-12-12 16:05:17.382,2955716863,0,0,19,0.0
